account_id,account_name,total_unblended_cost
566772142149,Alta Management,"4,291.80"
688567302866,ILand Guard Ltd,906.35
746669209875,Bot Authority,"3,279.91"
211125560149,abracloud-cobra-mgt,"11,113.60"
637423480194,abracloud-aidome,0.03
209479306520,C M M Software Co LLC,255.64
340752822228,Communi Ltd,"2,475.32"
528589723586,GNX Data Systems LTD,"204,801.37"
105221511205,Imagry LTD,"13,002.39"
320600763839,Machon-Noam LTD,"12,468.77"
977099009317,abracloud-nanox-mgt,"10,722.84"
637171028886,Onriva AWS root org account,"21,857.90"
399817749283,owlduet-management,540.37
798384564062,Partake Financial Technology LTD,"16,241.08"
393426043562,senseIP inc.,"40,974.43"
313196411960,storeman-management,"1,125.49"
891377008687,THREE SPRING MEDIA LTD,"2,981.98"
481665128122,VSEE ARTIFICIAL INTELLIGENCE LTD,34.62
559050251617,Wallter Payments,"3,858.55"
609110638054,yes-management,"8,341.36"
064335569815,ZOOZ Power LTD,"1,678.85"
030197429217,CoinMarketMan,"18,387.80"
038721370689,incentives-solutions,"5,142.56"
084375564118,champion-motors-S3-Beeri,0.21
118931910216,paycall.co.il,695.02
126271034052,Steam-fi,314.55
156462123383,consist-il-prod,421.66
201870019488,AuraPlayer EBS,315.07
246113407674,treetoscope.com,252.00
248189907058,cma-bi-sandbox,112.65
254527831677,shlomo-sixt-dev,"4,714.23"
262674733103,Abra-IT Reseller Account,157.44
288761746743,ceva-poc,0.18
302263059778,champion-motors-S3-General,10.05
318175004941,abracloud,546.75
339160309601,archeraffiliates,862.97
364125753859,Cricket Traveling LTD,"1,306.37"
381491895974,consist-global-prod,"1,883.44"
381491953390,fattal-dev,837.09
392636315710,champion-motors-dev,368.64
446735875121,Develop Habitu Health,3.01
460331039556,abra-rnd-solutions,76.17
475107566586,wetask,0.00
485357734136,alpha-beta-prod,"3,161.73"
490041599879,NEW CONCEPT TRAVEL TECHNOLOGIES LTD,"6,178.67"
533267025499,fitin-dev,"1,343.63"
533267204778,Tea-Fi,"11,182.86"
556446520815,Habitu Health,"3,231.34"
630462983302,Hitit,428.84
637423171233,Y-IT dev,0.33
654654564218,fitin-prod,"1,612.37"
664418981126,Autonomit,"1,616.80"
713325313557,abra-web-and-mobile,0.18
756794256911,royasoolin,"2,239.43"
771748487285,champion-motors-prod,"2,891.66"
779846814796,bepro-bedrock,0.18
849816393088,NG Subtitling,"1,697.04"
850995576132,champion-motors-S3-BI,17.69
851725421550,champion-motors-it-services,423.30
864981736636,IsraelStateArchive-Dev,669.91
865504440788,infinity-logs,0.14
891377154931,fattal-prod,"4,326.01"
894531618659,AuraPlayer,241.05
897577802638,abra-rnd-one1,895.29
929179079054,shlomo-sixt-sandbox,0.18
954439526339,shlomo-sixt-prod,"3,880.33"
