account_id,account_name,total_unblended_cost,kind
566772142149,Alta Management,"4,415.72",
688567302866,ILand Guard Ltd,934.88,
746669209875,Bot Authority,"3,374.88",
590184078720,cobra-sap-prod,"3,756.99",
590184078720,cobra-sap-prod,90.00,mp
211125560149,abracloud-cobra-mgt,"7,580.66",
637423480194,abracloud-aidome,0.29,
209479306520,C M M Software Co LLC,262.37,
340752822228,Communi Ltd,"2,341.86",
340752822228,Communi Ltd,232.80,mp
528589723586,GNX Data Systems LTD,"208,023.22",
528589723586,GNX Data Systems LTD,"2,123.18",mp
105221511205,Imagry LTD,"13,442.20",
320600763839,Machon-Noam LTD,"10,377.56",
320600763839,Machon-Noam LTD,"2,354.38",mp
977099009317,abracloud-nanox-mgt,"11,051.18",
637171028886,Onriva AWS root org account,"22,470.74",
399817749283,owlduet-management,558.38,
798384564062,Partake Financial Technology LTD,"16,680.02",
798384564062,Partake Financial Technology LTD,12.05,mp
393426043562,senseIP inc.,"41,729.65",
393426043562,senseIP inc.,407.58,mp
313196411960,storeman-management,"1,158.47",
891377008687,THREE SPRING MEDIA LTD,"3,079.25",
481665128122,VSEE ARTIFICIAL INTELLIGENCE LTD,35.60,
559050251617,Wallter Payments,"3,948.50",
559050251617,Wallter Payments,29.00,mp
609110638054,yes-management,"8,633.29",
064335569815,ZOOZ Power LTD,"1,722.19",
030197429217,CoinMarketMan,"18,448.44",
030197429217,CoinMarketMan,449.04,mp
038721370689,incentives-solutions,"5,292.25",
084375564118,champion-motors-S3-Beeri,0.24,
118931910216,paycall.co.il,715.14,
126271034052,Steam-fi,337.26,
156462123383,consist-il-prod,433.37,
201870019488,AuraPlayer EBS,324.83,
246113407674,treetoscope.com,170.94,
246113407674,treetoscope.com,88.56,mp
248189907058,cma-bi-sandbox,116.22,
254527831677,shlomo-sixt-dev,"4,095.08",
254527831677,shlomo-sixt-dev,772.61,mp
262674733103,Abra-IT Reseller Account,170.27,
288761746743,ceva-poc,0.21,
302263059778,champion-motors-S3-General,10.42,
318175004941,abracloud,556.63,
318175004941,abracloud,0.00,mp
339160309601,archeraffiliates,888.91,
364125753859,Cricket Traveling LTD,"1,311.11",
381491895974,consist-global-prod,"1,940.25",
381491953390,fattal-dev,859.93,
392636315710,champion-motors-dev,378.66,
446735875121,Develop Habitu Health,3.11,
460331039556,abra-rnd-solutions,78.45,
475107566586,wetask,0.00,
485357734136,alpha-beta-prod,"3,256.15",
490041599879,NEW CONCEPT TRAVEL TECHNOLOGIES LTD,"6,260.05",
490041599879,NEW CONCEPT TRAVEL TECHNOLOGIES LTD,42.46,mp
533267025499,fitin-dev,"1,348.88",
533267204778,Tea-Fi,"11,507.04",
556446520815,Habitu Health,"2,477.53",
556446520815,Habitu Health,817.08,mp
630462983302,Hitit,440.55,
637423171233,Y-IT dev,0.36,
654654564218,fitin-prod,"1,638.95",
664418981126,Autonomit,"1,671.17",
713325313557,abra-web-and-mobile,0.21,
756794256911,royasoolin,"2,299.93",
771748487285,champion-motors-prod,"2,927.01",
779846814796,bepro-bedrock,0.21,
849816393088,NG Subtitling,"1,750.91",
850995576132,champion-motors-S3-BI,18.39,
851725421550,champion-motors-it-services,50.40,
851725421550,champion-motors-it-services,385.18,mp
864981736636,IsraelStateArchive-Dev,689.06,
865504440788,infinity-logs,0.14,
891377154931,fattal-prod,"4,474.03",
894531618659,AuraPlayer,248.31,
897577802638,abra-rnd-one1,918.99,
897577802638,abra-rnd-one1,2.38,mp
929179079054,shlomo-sixt-sandbox,0.21,
954439526339,shlomo-sixt-prod,"3,992.34",
